continent,year,variant,gender,agebroad,percentagetotalpopulation
903,1970,Estimates,female,75plus,0.890306372086449
903,1970,Estimates,male,75plus,0.626151897059558
903,1970,Estimates,female,80plus,0.331242062321038
903,1970,Estimates,male,80plus,0.210293834287964
903,1975,Estimates,female,total,100
903,1975,Estimates,male,total,100
903,1975,Estimates,female,0_1,7.61321748484506
903,1975,Estimates,male,0_1,7.83045049082435
903,1975,Estimates,female,0_4,17.6614620483019
903,1975,Estimates,male,0_4,18.1403527075894
903,1975,Estimates,female,0_14,43.9016549739145
903,1975,Estimates,male,0_14,45.0473308688958
903,1975,Estimates,female,0_17,50.2295704473387
903,1975,Estimates,male,0_17,51.5293953043258
903,1975,Estimates,female,0_19,54.0865948679238
903,1975,Estimates,male,0_19,55.4710149812492
903,1975,Estimates,female,0_24,62.5325990829625
903,1975,Estimates,male,0_24,64.056523249116
903,1975,Estimates,female,3_4,6.53542949525847
903,1975,Estimates,male,3_4,6.70297131351838
903,1975,Estimates,female,3_5,9.59177162074656
903,1975,Estimates,male,3_5,9.83548813811331
903,1975,Estimates,female,3_6,12.5267877332383
903,1975,Estimates,male,3_6,12.8431180928865
903,1975,Estimates,female,4_5,6.24826693788309
903,1975,Estimates,male,4_5,6.40525478938515
903,1975,Estimates,female,4_6,9.18328305037482
903,1975,Estimates,male,4_6,9.41288474415833
903,1975,Estimates,female,5_10,16.7439134073622
903,1975,Estimates,male,5_10,17.1625328866685
903,1975,Estimates,female,5_11,19.2313730401123
903,1975,Estimates,male,5_11,19.7150270674471
903,1975,Estimates,female,5_14,26.2401929256126
903,1975,Estimates,male,5_14,26.9069781613063
903,1975,Estimates,female,6_9,11.1285679448859
903,1975,Estimates,male,6_9,11.4055279565245
