agebroad,gender,percentagetotalpopulation,continent,variant,year
80plus,male,0.311,935,estimates,1953
85plus,male,0.083,935,estimates,1953
90plus,male,0.017,935,estimates,1953
total,male,100,935,estimates,1953
0_1,female,7.214,935,estimates,1954
0_4,female,16.124,935,estimates,1954
0_14,female,37.823,935,estimates,1954
0_17,female,43.596,935,estimates,1954
0_19,female,47.302,935,estimates,1954
0_24,female,55.945,935,estimates,1954
3_4,female,5.72,935,estimates,1954
3_5,female,8.317,935,estimates,1954
3_6,female,10.77,935,estimates,1954
4_5,female,5.36,935,estimates,1954
4_6,female,7.813,935,estimates,1954
5_14,female,21.699,935,estimates,1954
5_10,female,13.811,935,estimates,1954
5_11,female,15.822,935,estimates,1954
6_9,female,9.148,935,estimates,1954
6_10,female,11.214,935,estimates,1954
6_11,female,13.225,935,estimates,1954
6_12,female,15.201,935,estimates,1954
7_10,female,8.761,935,estimates,1954
7_12,female,12.748,935,estimates,1954
11_16,female,11.757,935,estimates,1954
11_17,female,13.661,935,estimates,1954
11_18,female,15.529,935,estimates,1954
12_14,female,5.877,935,estimates,1954
12_16,female,9.746,935,estimates,1954
12_17,female,11.65,935,estimates,1954
12_18,female,13.518,935,estimates,1954
13_17,female,9.674,935,estimates,1954
13_18,female,11.542,935,estimates,1954
13_19,female,13.38,935,estimates,1954
15_17,female,5.773,935,estimates,1954
18_23,female,10.71,935,estimates,1954
15_24,female,18.122,935,estimates,1954
15_49,female,48.247,935,estimates,1954
15_59,female,55.278,935,estimates,1954
15_64,female,57.782,935,estimates,1954
20_64,female,48.303,935,estimates,1954
20_69,female,50.231,935,estimates,1954
25_49,female,30.125,935,estimates,1954
25_64,female,39.66,935,estimates,1954
25_69,female,41.588,935,estimates,1954
15plus,female,62.177,935,estimates,1954
16plus,female,60.237,935,estimates,1954
17plus,female,58.308,935,estimates,1954
18plus,female,56.404,935,estimates,1954
20plus,female,52.698,935,estimates,1954
21plus,female,50.889,935,estimates,1954
25plus,female,44.055,935,estimates,1954
50plus,female,13.93,935,estimates,1954
60plus,female,6.899,935,estimates,1954
65plus,female,4.395,935,estimates,1954
70plus,female,2.467,935,estimates,1954
75plus,female,1.197,935,estimates,1954
80plus,female,0.479,935,estimates,1954
85plus,female,0.146,935,estimates,1954
90plus,female,0.034,935,estimates,1954
total,female,100,935,estimates,1954
0_1,male,7.272,935,estimates,1954
0_4,male,16.16,935,estimates,1954
0_14,male,38.107,935,estimates,1954
0_17,male,44.027,935,estimates,1954
0_19,male,47.81,935,estimates,1954
0_24,male,56.622,935,estimates,1954
3_4,male,5.695,935,estimates,1954
3_5,male,8.281,935,estimates,1954
3_6,male,10.731,935,estimates,1954
4_5,male,5.332,935,estimates,1954
4_6,male,7.782,935,estimates,1954
5_14,male,21.947,935,estimates,1954
5_10,male,13.874,935,estimates,1954
5_11,male,15.927,935,estimates,1954
6_9,male,9.188,935,estimates,1954
6_10,male,11.288,935,estimates,1954
6_11,male,13.341,935,estimates,1954
6_12,male,15.364,935,estimates,1954
7_10,male,8.838,935,estimates,1954
7_12,male,12.914,935,estimates,1954
11_16,male,12.043,935,estimates,1954
11_17,male,13.993,935,estimates,1954
11_18,male,15.903,935,estimates,1954
12_14,male,6.02,935,estimates,1954
12_16,male,9.99,935,estimates,1954
12_17,male,11.94,935,estimates,1954
12_18,male,13.85,935,estimates,1954
13_17,male,9.917,935,estimates,1954
13_18,male,11.827,935,estimates,1954
13_19,male,13.7,935,estimates,1954
15_17,male,5.92,935,estimates,1954
18_23,male,10.91,935,estimates,1954
15_24,male,18.515,935,estimates,1954
15_49,male,49.175,935,estimates,1954
15_59,male,56.112,935,estimates,1954
15_64,male,58.433,935,estimates,1954
20_64,male,48.73,935,estimates,1954
20_69,male,50.384,935,estimates,1954
25_49,male,30.66,935,estimates,1954
25_64,male,39.917,935,estimates,1954
25_69,male,41.571,935,estimates,1954
15plus,male,61.893,935,estimates,1954
16plus,male,59.903,935,estimates,1954
17plus,male,57.923,935,estimates,1954
18plus,male,55.973,935,estimates,1954
20plus,male,52.19,935,estimates,1954
21plus,male,50.353,935,estimates,1954
25plus,male,43.378,935,estimates,1954
50plus,male,12.718,935,estimates,1954
60plus,male,5.781,935,estimates,1954
65plus,male,3.461,935,estimates,1954
70plus,male,1.807,935,estimates,1954
75plus,male,0.818,935,estimates,1954
80plus,male,0.297,935,estimates,1954
