global,variant,year,populationdensitypersqkm
900,zeromigration,2092,85.1418935468256
900,constantfertility,2093,169.881490015803
900,constantmortality,2093,67.5356442045358
900,highvariant,2093,120.556349216469
900,instantreplacement,2093,78.434294825391
900,lowvariant,2093,58.7281095724653
900,mediumvariant,2093,85.3951066120784
900,nochange,2093,131.650310374936
900,zeromigration,2093,85.2734102863157
900,constantfertility,2094,173.704991333436
900,constantmortality,2094,67.3290217317933
900,highvariant,2094,121.531176375429
900,instantreplacement,2094,78.554367179379
900,lowvariant,2094,58.3596612783221
900,mediumvariant,2094,85.5246004221473
900,nochange,2094,133.860771566627
900,zeromigration,2094,85.4002902635077
900,constantfertility,2095,177.661607734713
900,constantmortality,2095,67.1172987859324
900,highvariant,2095,122.508689492031
900,instantreplacement,2095,78.6750445650677
900,lowvariant,2095,57.98706256249
900,mediumvariant,2095,85.6492976624064
900,nochange,2095,136.136141911407
900,zeromigration,2095,85.5223866000015
900,constantfertility,2096,181.755760576163
900,constantmortality,2096,66.9007560562796
900,highvariant,2096,123.488565407662
900,instantreplacement,2096,78.7962726448282
900,lowvariant,2096,57.6104468592448
900,mediumvariant,2096,85.7690307156069
900,nochange,2096,138.478296968345
900,zeromigration,2096,85.639522323775
900,constantfertility,2097,185.991941648001
900,constantmortality,2097,66.6796753928605
900,highvariant,2097,124.470438855696
900,instantreplacement,2097,78.9179648504934
900,lowvariant,2097,57.2299293391468
900,mediumvariant,2097,85.88360302389
900,nochange,2097,140.889129053624
900,zeromigration,2097,85.751489592822
900,constantfertility,2098,190.374712797467
900,constantmortality,2098,66.4543382921103
900,highvariant,2098,125.453900770411
900,instantreplacement,2098,79.0400012995257
900,lowvariant,2098,56.8456069551612
900,mediumvariant,2098,85.9927894039439
900,nochange,2098,143.370545672441
900,zeromigration,2098,85.8580503638994
900,constantfertility,2099,194.908706405414
900,constantmortality,2099,66.2250273035486
900,highvariant,2099,126.438499516868
900,instantreplacement,2099,79.1622296866806
900,lowvariant,2099,56.4575581505615
900,mediumvariant,2099,86.0963350784729
900,nochange,2099,145.924470625903
