region,year,variant,gender,freq,agebroad,totaldeaths
1517,2000,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,2000,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,2000,estimates,female,5yearly,0_4,15733.796
1517,2000,estimates,male,5yearly,0_4,17822.042
1517,2000,estimates,female,5yearly,0_14,18332.556
1517,2000,estimates,male,5yearly,0_14,20670.808
1517,2000,estimates,female,5yearly,0_19,19727.693
1517,2000,estimates,male,5yearly,0_19,22389.959
1517,2000,estimates,female,5yearly,0_24,21456.781
1517,2000,estimates,male,5yearly,0_24,24673.795
1517,2000,estimates,female,5yearly,5_14,2598.76
1517,2000,estimates,male,5yearly,5_14,2848.766
1517,2000,estimates,female,5yearly,15plus,69524.643
1517,2000,estimates,male,5yearly,15plus,81072.511
1517,2000,estimates,female,5yearly,15_24,3124.225
1517,2000,estimates,male,5yearly,15_24,4002.987
1517,2000,estimates,female,5yearly,15_49,13921.897
1517,2000,estimates,male,5yearly,15_49,20902.902
1517,2000,estimates,female,5yearly,15_59,21026.414
1517,2000,estimates,male,5yearly,15_59,31854.136
1517,2000,estimates,female,5yearly,15_64,26277.625
1517,2000,estimates,male,5yearly,15_64,39245.65
1517,2000,estimates,female,5yearly,20plus,68129.506
1517,2000,estimates,male,5yearly,20plus,79353.36
1517,2000,estimates,female,5yearly,20_64,24882.488
1517,2000,estimates,male,5yearly,20_64,37526.499
1517,2000,estimates,female,5yearly,20_69,32045.59
1517,2000,estimates,male,5yearly,20_69,46869.658
1517,2000,estimates,female,5yearly,25plus,66400.418
1517,2000,estimates,male,5yearly,25plus,77069.524
1517,2000,estimates,female,5yearly,25_69,30316.502
1517,2000,estimates,male,5yearly,25_69,44585.822
1517,2000,estimates,female,5yearly,40plus,60544.575
1517,2000,estimates,male,5yearly,40plus,68352.448
1517,2000,estimates,female,5yearly,50plus,55602.746
1517,2000,estimates,male,5yearly,50plus,60169.609
1517,2000,estimates,female,5yearly,60plus,48498.229
1517,2000,estimates,male,5yearly,60plus,49218.375
1517,2000,estimates,female,5yearly,65plus,43247.018
1517,2000,estimates,male,5yearly,65plus,41826.861
1517,2000,estimates,female,5yearly,70plus,36083.916
1517,2000,estimates,male,5yearly,70plus,32483.702
1517,2000,estimates,female,5yearly,80plus,17524.036
1517,2000,estimates,male,5yearly,80plus,12439.476
1517,2000,estimates,female,5yearly,90plus,3454.458
1517,2000,estimates,male,5yearly,90plus,1716.218
1517,2005,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,2005,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,2005,estimates,female,5yearly,0_4,13087.986
1517,2005,estimates,male,5yearly,0_4,14995.49
1517,2005,estimates,female,5yearly,0_14,15329.637
1517,2005,estimates,male,5yearly,0_14,17491.291
1517,2005,estimates,female,5yearly,0_19,16609.685
1517,2005,estimates,male,5yearly,0_19,19101.477
1517,2005,estimates,female,5yearly,0_24,18264.612
1517,2005,estimates,male,5yearly,0_24,21348.089
1517,2005,estimates,female,5yearly,5_14,2241.651
1517,2005,estimates,male,5yearly,5_14,2495.801
1517,2005,estimates,female,5yearly,15plus,74099.886
1517,2005,estimates,male,5yearly,15plus,87056.354
1517,2005,estimates,female,5yearly,15_24,2934.975
1517,2005,estimates,male,5yearly,15_24,3856.798
