continent,year,variant,gender,freq,agebroad,totaldeaths
908,2000,estimates,female,5yearly,0_4,161.741
908,2000,estimates,male,5yearly,0_4,218.603
908,2000,estimates,female,5yearly,0_14,198.662
908,2000,estimates,male,5yearly,0_14,284.783
908,2000,estimates,female,5yearly,0_19,243.622
908,2000,estimates,male,5yearly,0_19,403.7
908,2000,estimates,female,5yearly,0_24,308.577
908,2000,estimates,male,5yearly,0_24,632.36
908,2000,estimates,female,5yearly,5_14,36.921
908,2000,estimates,male,5yearly,5_14,66.18
908,2000,estimates,female,5yearly,15plus,20511.217
908,2000,estimates,male,5yearly,15plus,21454.611
908,2000,estimates,female,5yearly,15_24,109.915
908,2000,estimates,male,5yearly,15_24,347.577
908,2000,estimates,female,5yearly,15_49,1158.615
908,2000,estimates,male,5yearly,15_49,3392.419
908,2000,estimates,female,5yearly,15_59,2403.181
908,2000,estimates,male,5yearly,15_59,6224.781
908,2000,estimates,female,5yearly,15_64,3402.556
908,2000,estimates,male,5yearly,15_64,8162.921
908,2000,estimates,female,5yearly,20plus,20466.257
908,2000,estimates,male,5yearly,20plus,21335.694
908,2000,estimates,female,5yearly,20_64,3357.596
908,2000,estimates,male,5yearly,20_64,8044.004
908,2000,estimates,female,5yearly,20_69,4899.42
908,2000,estimates,male,5yearly,20_69,10556.68
908,2000,estimates,female,5yearly,25plus,20401.302
908,2000,estimates,male,5yearly,25plus,21107.034
908,2000,estimates,female,5yearly,25_69,4834.465
908,2000,estimates,male,5yearly,25_69,10328.02
908,2000,estimates,female,5yearly,40plus,20043.003
908,2000,estimates,male,5yearly,40plus,19955.613
908,2000,estimates,female,5yearly,50plus,19352.602
908,2000,estimates,male,5yearly,50plus,18062.192
908,2000,estimates,female,5yearly,60plus,18108.036
908,2000,estimates,male,5yearly,60plus,15229.83
908,2000,estimates,female,5yearly,65plus,17108.661
908,2000,estimates,male,5yearly,65plus,13291.69
908,2000,estimates,female,5yearly,70plus,15566.837
908,2000,estimates,male,5yearly,70plus,10779.014
908,2000,estimates,female,5yearly,80plus,9885.092
908,2000,estimates,male,5yearly,80plus,4894.171
908,2000,estimates,female,5yearly,90plus,3269.199
908,2000,estimates,male,5yearly,90plus,1087.181
908,2005,estimates,female,5yearly,0_4,134.957
908,2005,estimates,male,5yearly,0_4,179.041
908,2005,estimates,female,5yearly,0_14,161.509
908,2005,estimates,male,5yearly,0_14,224.15
908,2005,estimates,female,5yearly,0_19,195.488
908,2005,estimates,male,5yearly,0_19,312.222
908,2005,estimates,female,5yearly,0_24,252.613
908,2005,estimates,male,5yearly,0_24,503.294
908,2005,estimates,female,5yearly,5_14,26.552
908,2005,estimates,male,5yearly,5_14,45.109
908,2005,estimates,female,5yearly,15plus,20099.745
908,2005,estimates,male,5yearly,15plus,20978.915
908,2005,estimates,female,5yearly,15_24,91.104
908,2005,estimates,male,5yearly,15_24,279.144
908,2005,estimates,female,5yearly,15_49,1044.863
908,2005,estimates,male,5yearly,15_49,2935.903
