country,year,variant,agebroad,population
512,2020,high variant,0_4,445.345
512,2020,instant-replacement,0_4,335.39
512,2020,low variant,0_4,364.892
512,2020,medium variant,0_4,405.118
512,2020,no change,0_4,456.683
512,2020,zero-migration,0_4,404.014
512,2020,constant-fertility,0_14,1150.799
512,2020,constant-mortality,0_14,1097.659
512,2020,high variant,0_14,1138.716
512,2020,instant-replacement,0_14,1028.761
512,2020,low variant,0_14,1058.263
512,2020,medium variant,0_14,1098.489
512,2020,no change,0_14,1149.882
512,2020,zero-migration,0_14,1094.711
512,2020,medium variant,0_17,1248.503
512,2020,constant-fertility,0_19,1403.453
512,2020,constant-mortality,0_19,1350.249
512,2020,high variant,0_19,1391.37
512,2020,instant-replacement,0_19,1281.415
512,2020,low variant,0_19,1310.917
512,2020,medium variant,0_19,1351.143
512,2020,no change,0_19,1402.472
512,2020,zero-migration,0_19,1324.192
512,2020,constant-fertility,0_24,1743.219
512,2020,constant-mortality,0_24,1689.884
512,2020,high variant,0_24,1731.136
512,2020,instant-replacement,0_24,1621.181
512,2020,low variant,0_24,1650.683
512,2020,medium variant,0_24,1690.909
512,2020,no change,0_24,1742.107
512,2020,zero-migration,0_24,1569.552
512,2020,medium variant,3_4,165.775
512,2020,medium variant,3_5,247.541
512,2020,medium variant,3_6,327.536
512,2020,medium variant,4_5,164.568
512,2020,medium variant,4_6,244.563
512,2020,medium variant,5_10,454.04
512,2020,medium variant,5_11,519.022
512,2020,constant-fertility,5_14,693.371
512,2020,constant-mortality,5_14,693.199
512,2020,high variant,5_14,693.371
512,2020,instant-replacement,5_14,693.371
512,2020,low variant,5_14,693.371
512,2020,medium variant,5_14,693.371
512,2020,no change,5_14,693.199
512,2020,zero-migration,5_14,690.697
512,2020,medium variant,6_9,304.003
512,2020,medium variant,6_10,372.274
512,2020,medium variant,6_11,437.256
512,2020,medium variant,6_12,498.826
512,2020,medium variant,7_10,292.279
512,2020,medium variant,7_12,418.831
512,2020,medium variant,11_16,340.724
512,2020,medium variant,11_17,389.345
512,2020,medium variant,11_18,439.193
512,2020,medium variant,12_14,174.349
512,2020,medium variant,12_16,275.742
512,2020,medium variant,12_17,324.363
512,2020,medium variant,12_18,374.211
512,2020,medium variant,13_17,262.793
512,2020,medium variant,13_18,312.641
512,2020,medium variant,13_19,365.433
512,2020,constant-fertility,15plus,3717.387
