region,year,variant,gender,agebroad,percentagetotalpopulation
923,1970,Estimates,male,25_64,47.0649617695485
923,1970,Estimates,female,25_69,54.2537361011217
923,1970,Estimates,male,25_69,49.7393609768621
923,1970,Estimates,female,50plus,26.4328719531391
923,1970,Estimates,male,50plus,17.5946770056092
923,1970,Estimates,female,60plus,15.9232347651073
923,1970,Estimates,male,60plus,9.83552385848744
923,1970,Estimates,female,65plus,10.632129305348
923,1970,Estimates,male,65plus,6.05862547314002
923,1970,Estimates,female,70plus,6.37854781119457
923,1970,Estimates,male,70plus,3.38422626582648
923,1970,Estimates,female,75plus,3.46579118074928
923,1970,Estimates,male,75plus,1.70656448765513
923,1970,Estimates,female,80plus,1.67818540567994
923,1970,Estimates,male,80plus,0.73347945426739
923,1975,Estimates,female,total,100
923,1975,Estimates,male,total,100
923,1975,Estimates,female,0_1,3.09894015272212
923,1975,Estimates,male,0_1,3.67270833573744
923,1975,Estimates,female,0_4,7.25523588769342
923,1975,Estimates,male,0_4,8.55869667609494
923,1975,Estimates,female,0_14,21.4862928901209
923,1975,Estimates,male,0_14,25.3593540993709
923,1975,Estimates,female,0_17,26.500009654827
923,1975,Estimates,male,0_17,31.3309132075349
923,1975,Estimates,female,0_19,29.9268677460215
923,1975,Estimates,male,0_19,35.3923635451039
923,1975,Estimates,female,0_24,38.1792814099854
923,1975,Estimates,male,0_24,45.0472044340143
923,1975,Estimates,female,3_4,2.72514763625682
923,1975,Estimates,male,3_4,3.19980057486545
923,1975,Estimates,female,3_5,4.05332605103585
923,1975,Estimates,male,3_5,4.75716327528292
923,1975,Estimates,female,3_6,5.3782381463701
923,1975,Estimates,male,3_6,6.31124804321528
923,1975,Estimates,female,4_5,2.67390136789352
923,1975,Estimates,male,4_5,3.13620060761336
923,1975,Estimates,female,4_6,3.99881346322776
923,1975,Estimates,male,4_6,4.69028537554572
923,1975,Estimates,female,5_10,8.14007741578546
923,1975,Estimates,male,5_10,9.57295838970965
923,1975,Estimates,female,5_11,9.5967611168488
923,1975,Estimates,male,5_11,11.297109743796
923,1975,Estimates,female,5_14,14.2310570024275
923,1975,Estimates,male,5_14,16.800657423276
923,1975,Estimates,female,6_9,5.39481193693586
923,1975,Estimates,male,6_9,6.34186152447134
