continent,year,variant,freq,age5yearinterval,fertilityrateper1000women
935,2040,low_variant,5yearly,35_39,28.6661629365086
935,2040,medium_variant,5yearly,35_39,38.9008383182148
935,2040,momentum,5yearly,35_39,44.702659062365
935,2040,no_change,5yearly,35_39,40.1155074123802
935,2040,zero_migration,5yearly,35_39,38.8191387198627
935,2040,constant_fertility,5yearly,40_44,13.8366541699951
935,2040,constant_mortality,5yearly,40_44,11.1795802209068
935,2040,high_variant,5yearly,40_44,14.158656516833
935,2040,instant_replacement,5yearly,40_44,12.6206938674395
935,2040,low_variant,5yearly,40_44,8.19013992930732
935,2040,medium_variant,5yearly,40_44,11.1526212595318
935,2040,momentum,5yearly,40_44,12.922324654868
935,2040,no_change,5yearly,40_44,13.8067582137928
935,2040,zero_migration,5yearly,40_44,11.1428549160864
935,2040,constant_fertility,5yearly,45_49,3.55391001963168
935,2040,constant_mortality,5yearly,45_49,1.57815496225562
935,2040,high_variant,5yearly,45_49,1.98041648956076
935,2040,instant_replacement,5yearly,45_49,1.71922951625634
935,2040,low_variant,5yearly,45_49,1.17066422336603
935,2040,medium_variant,5yearly,45_49,1.58026801433189
935,2040,momentum,5yearly,45_49,1.78282437016042
935,2040,no_change,5yearly,45_49,3.54117246102002
935,2040,zero_migration,5yearly,45_49,1.59136899332762
935,2045,constant_fertility,5yearly,15_19,35.6308736089141
935,2045,constant_mortality,5yearly,15_19,16.2686878256947
935,2045,high_variant,5yearly,15_19,19.8863292554217
935,2045,instant_replacement,5yearly,15_19,16.1437486226666
935,2045,low_variant,5yearly,15_19,12.4986833804684
935,2045,medium_variant,5yearly,15_19,16.270142399169
935,2045,momentum,5yearly,15_19,16.842334054851
935,2045,no_change,5yearly,15_19,35.4844303849265
935,2045,zero_migration,5yearly,15_19,16.3609942565963
935,2045,constant_fertility,5yearly,20_24,157.377506365357
935,2045,constant_mortality,5yearly,20_24,95.0313365504362
935,2045,high_variant,5yearly,20_24,119.107476603971
935,2045,instant_replacement,5yearly,20_24,103.266400475618
935,2045,low_variant,5yearly,20_24,71.4736142928105
935,2045,medium_variant,5yearly,20_24,95.4174201845607
935,2045,momentum,5yearly,20_24,107.813707106454
935,2045,no_change,5yearly,20_24,156.893717264382
935,2045,zero_migration,5yearly,20_24,95.6697374055857
935,2045,constant_fertility,5yearly,25_29,148.900335880505
935,2045,constant_mortality,5yearly,25_29,121.992280189303
935,2045,high_variant,5yearly,25_29,154.211591184612
935,2045,instant_replacement,5yearly,25_29,137.034899968081
935,2045,low_variant,5yearly,25_29,90.4238942388943
935,2045,medium_variant,5yearly,25_29,122.141875122753
935,2045,momentum,5yearly,25_29,141.955877362697
935,2045,no_change,5yearly,25_29,148.649884033296
935,2045,zero_migration,5yearly,25_29,122.268502697059
935,2045,constant_fertility,5yearly,30_34,88.2604118041137
935,2045,constant_mortality,5yearly,30_34,94.1629703080941
935,2045,high_variant,5yearly,30_34,119.210081380551
935,2045,instant_replacement,5yearly,30_34,107.172682570145
935,2045,low_variant,5yearly,30_34,69.1288706528735
935,2045,medium_variant,5yearly,30_34,94.0367479630713
935,2045,momentum,5yearly,30_34,110.413353353005
935,2045,no_change,5yearly,30_34,88.1689484344838
935,2045,zero_migration,5yearly,30_34,93.9616448230598
935,2045,constant_fertility,5yearly,35_39,40.9389516394169
935,2045,constant_mortality,5yearly,35_39,40.301065179571
935,2045,high_variant,5yearly,35_39,51.0784053651835
935,2045,instant_replacement,5yearly,35_39,45.4521322915632
935,2045,low_variant,5yearly,35_39,29.5038427325093
935,2045,medium_variant,5yearly,35_39,40.2120191761023
