agebroad,gender,population,country,variant,year
5_10,male,684.498,604,estimates,1954
5_11,male,784.916,604,estimates,1954
6_9,male,453.837,604,estimates,1954
6_10,male,557.208,604,estimates,1954
6_11,male,657.626,604,estimates,1954
6_12,male,755.36,604,estimates,1954
7_10,male,436.286,604,estimates,1954
7_12,male,634.438,604,estimates,1954
11_16,male,567.442,604,estimates,1954
11_17,male,654.676,604,estimates,1954
11_18,male,739.492,604,estimates,1954
12_14,male,286.199,604,estimates,1954
12_16,male,467.024,604,estimates,1954
12_17,male,554.258,604,estimates,1954
12_18,male,639.074,604,estimates,1954
13_17,male,456.524,604,estimates,1954
13_18,male,541.34,604,estimates,1954
13_19,male,623.883,604,estimates,1954
15_17,male,268.059,604,estimates,1954
18_23,male,473.497,604,estimates,1954
15_24,male,811.132,604,estimates,1954
15_49,male,1976.97,604,estimates,1954
15_59,male,2237.155,604,estimates,1954
15_64,male,2328.319,604,estimates,1954
20_64,male,1892.901,604,estimates,1954
20_69,male,1956.464,604,estimates,1954
25_49,male,1165.838,604,estimates,1954
25_64,male,1517.187,604,estimates,1954
25_69,male,1580.75,604,estimates,1954
15plus,male,2463.036,604,estimates,1954
16plus,male,2371.667,604,estimates,1954
17plus,male,2282.211,604,estimates,1954
18plus,male,2194.977,604,estimates,1954
20plus,male,2027.618,604,estimates,1954
21plus,male,1947.228,604,estimates,1954
25plus,male,1651.904,604,estimates,1954
50plus,male,486.066,604,estimates,1954
60plus,male,225.881,604,estimates,1954
65plus,male,134.717,604,estimates,1954
70plus,male,71.154,604,estimates,1954
75plus,male,33.619,604,estimates,1954
80plus,male,11.55,604,estimates,1954
85plus,male,3.135,604,estimates,1954
90plus,male,0.591,604,estimates,1954
total,male,4300.814,604,estimates,1954
0,female,180.159,604,estimates,1955
0_1,female,337.421,604,estimates,1955
0_4,female,768.286,604,estimates,1955
0_14,female,1841.817,604,estimates,1955
0_17,female,2108.586,604,estimates,1955
0_19,female,2275.939,604,estimates,1955
0_24,female,2654.081,604,estimates,1955
3_4,female,278.349,604,estimates,1955
3_5,female,406.215,604,estimates,1955
3_6,female,527.759,604,estimates,1955
4_5,female,262.947,604,estimates,1955
4_6,female,384.491,604,estimates,1955
5_14,female,1073.531,604,estimates,1955
5_10,female,687.279,604,estimates,1955
5_11,female,787.741,604,estimates,1955
6_9,female,455.897,604,estimates,1955
6_10,female,559.413,604,estimates,1955
6_11,female,659.875,604,estimates,1955
6_12,female,757.609,604,estimates,1955
7_10,female,437.869,604,estimates,1955
7_12,female,636.065,604,estimates,1955
11_16,female,565.988,604,estimates,1955
11_17,female,653.021,604,estimates,1955
11_18,female,737.872,604,estimates,1955
12_14,female,285.79,604,estimates,1955
12_16,female,465.526,604,estimates,1955
12_17,female,552.559,604,estimates,1955
12_18,female,637.41,604,estimates,1955
13_17,female,454.825,604,estimates,1955
13_18,female,539.676,604,estimates,1955
13_19,female,622.178,604,estimates,1955
15_17,female,266.769,604,estimates,1955
18_23,female,474.874,604,estimates,1955
15_24,female,812.264,604,estimates,1955
15_49,female,1991.419,604,estimates,1955
15_59,female,2266.702,604,estimates,1955
15_64,female,2368.123,604,estimates,1955
20_64,female,1934.001,604,estimates,1955
20_69,female,2008.055,604,estimates,1955
25_49,female,1179.155,604,estimates,1955
25_64,female,1555.859,604,estimates,1955
25_69,female,1629.913,604,estimates,1955
15plus,female,2529.699,604,estimates,1955
16plus,female,2438.918,604,estimates,1955
17plus,female,2349.963,604,estimates,1955
18plus,female,2262.93,604,estimates,1955
20plus,female,2095.577,604,estimates,1955
21plus,female,2015.308,604,estimates,1955
25plus,female,1717.435,604,estimates,1955
50plus,female,538.28,604,estimates,1955
60plus,female,262.997,604,estimates,1955
65plus,female,161.576,604,estimates,1955
70plus,female,87.522,604,estimates,1955
75plus,female,42.334,604,estimates,1955
80plus,female,15,604,estimates,1955
85plus,female,4.01,604,estimates,1955
90plus,female,0.721,604,estimates,1955
total,female,4371.516,604,estimates,1955
0,male,186.34,604,estimates,1955
0_1,male,348.496,604,estimates,1955
0_4,male,791.641,604,estimates,1955
0_14,male,1891.997,604,estimates,1955
0_17,male,2165.452,604,estimates,1955
0_19,male,2336.95,604,estimates,1955
0_24,male,2723.734,604,estimates,1955
3_4,male,286.059,604,estimates,1955
3_5,male,417.238,604,estimates,1955
3_6,male,541.831,604,estimates,1955
4_5,male,269.906,604,estimates,1955
4_6,male,394.499,604,estimates,1955
5_14,male,1100.356,604,estimates,1955
5_10,male,704.329,604,estimates,1955
5_11,male,807.306,604,estimates,1955
6_9,male,467.097,604,estimates,1955
6_10,male,573.15,604,estimates,1955
6_11,male,676.127,604,estimates,1955
