country,year,variant,gender,freq,agebroad,totaldeaths
854,2000,Estimates,female,5yearly,15_59,100.742
854,2000,Estimates,male,5yearly,15_59,103.139
854,2000,Estimates,female,5yearly,15_64,115.319
854,2000,Estimates,male,5yearly,15_64,115.585
854,2000,Estimates,female,5yearly,20plus,185.122
854,2000,Estimates,male,5yearly,20plus,160.433
854,2000,Estimates,female,5yearly,20_64,102.299
854,2000,Estimates,male,5yearly,20_64,102.477
854,2000,Estimates,female,5yearly,20_69,120.51
854,2000,Estimates,male,5yearly,20_69,116.283
854,2000,Estimates,female,5yearly,25plus,170.405
854,2000,Estimates,male,5yearly,25plus,144.529
854,2000,Estimates,female,5yearly,25_69,105.793
854,2000,Estimates,male,5yearly,25_69,100.379
854,2000,Estimates,female,5yearly,40plus,135.637
854,2000,Estimates,male,5yearly,40plus,109.566
854,2000,Estimates,female,5yearly,50plus,117.916
854,2000,Estimates,male,5yearly,50plus,90.825
854,2000,Estimates,female,5yearly,60plus,97.4
854,2000,Estimates,male,5yearly,60plus,70.402
854,2000,Estimates,female,5yearly,65plus,82.823
854,2000,Estimates,male,5yearly,65plus,57.956
854,2000,Estimates,female,5yearly,70plus,64.612
854,2000,Estimates,male,5yearly,70plus,44.15
854,2000,Estimates,female,5yearly,80plus,22.476
854,2000,Estimates,male,5yearly,80plus,14.688
854,2000,Estimates,female,5yearly,90plus,1.593
854,2000,Estimates,male,5yearly,90plus,0.906
854,2005,Estimates,female,5yearly,0_4,170.983
854,2005,Estimates,male,5yearly,0_4,222.565
854,2005,Estimates,female,5yearly,0_14,202.375
854,2005,Estimates,male,5yearly,0_14,252.082
854,2005,Estimates,female,5yearly,0_19,215.732
854,2005,Estimates,male,5yearly,0_19,264.238
854,2005,Estimates,female,5yearly,0_24,231.127
854,2005,Estimates,male,5yearly,0_24,279.091
854,2005,Estimates,female,5yearly,5_14,31.392
854,2005,Estimates,male,5yearly,5_14,29.517
854,2005,Estimates,female,5yearly,15plus,210.305
854,2005,Estimates,male,5yearly,15plus,173.596
854,2005,Estimates,female,5yearly,15_24,28.752
854,2005,Estimates,male,5yearly,15_24,27.009
854,2005,Estimates,female,5yearly,15_49,85.669
854,2005,Estimates,male,5yearly,15_49,81.694
854,2005,Estimates,female,5yearly,15_59,107.656
854,2005,Estimates,male,5yearly,15_59,102.947
854,2005,Estimates,female,5yearly,15_64,122.91
854,2005,Estimates,male,5yearly,15_64,115.652
854,2005,Estimates,female,5yearly,20plus,196.948
854,2005,Estimates,male,5yearly,20plus,161.44
854,2005,Estimates,female,5yearly,20_64,109.553
854,2005,Estimates,male,5yearly,20_64,103.496
854,2005,Estimates,female,5yearly,20_69,128.9
854,2005,Estimates,male,5yearly,20_69,117.731
854,2005,Estimates,female,5yearly,25plus,181.553
854,2005,Estimates,male,5yearly,25plus,146.587
854,2005,Estimates,female,5yearly,25_69,113.505
854,2005,Estimates,male,5yearly,25_69,102.878
854,2005,Estimates,female,5yearly,40plus,144.025
854,2005,Estimates,male,5yearly,40plus,111.84
854,2005,Estimates,female,5yearly,50plus,124.636
854,2005,Estimates,male,5yearly,50plus,91.902
854,2005,Estimates,female,5yearly,60plus,102.649
854,2005,Estimates,male,5yearly,60plus,70.649
854,2005,Estimates,female,5yearly,65plus,87.395
854,2005,Estimates,male,5yearly,65plus,57.944
854,2005,Estimates,female,5yearly,70plus,68.048
854,2005,Estimates,male,5yearly,70plus,43.709
854,2005,Estimates,female,5yearly,80plus,24.265
854,2005,Estimates,male,5yearly,80plus,14.965
854,2005,Estimates,female,5yearly,90plus,1.884
854,2005,Estimates,male,5yearly,90plus,1.053
854,2010,Estimates,female,5yearly,0_4,156.391
854,2010,Estimates,male,5yearly,0_4,211.577
854,2010,Estimates,female,5yearly,0_14,187.619
854,2010,Estimates,male,5yearly,0_14,241.513
854,2010,Estimates,female,5yearly,0_19,200.924
854,2010,Estimates,male,5yearly,0_19,253.72
854,2010,Estimates,female,5yearly,0_24,216.242
