continent,year,variant,agebroad,population
909,2015,No_change,0_14,9228.446
909,2015,Zero_migration,0_14,9228.446
909,2015,Estimates,0_17,10967.498
909,2015,Medium_variant,0_17,10967.498
909,2015,Constant_fertility,0_19,12139.502
909,2015,Constant_mortality,0_19,12139.502
909,2015,Estimates,0_19,12139.502
909,2015,High_variant,0_19,12139.502
909,2015,Instant_replacement,0_19,12139.502
909,2015,Low_variant,0_19,12139.502
909,2015,Medium_variant,0_19,12139.502
909,2015,No_change,0_19,12139.502
909,2015,Zero_migration,0_19,12139.502
909,2015,Constant_fertility,0_24,15113.517
909,2015,Constant_mortality,0_24,15113.517
909,2015,Estimates,0_24,15113.517
909,2015,High_variant,0_24,15113.517
909,2015,Instant_replacement,0_24,15113.517
909,2015,Low_variant,0_24,15113.517
909,2015,Medium_variant,0_24,15113.517
909,2015,No_change,0_24,15113.517
909,2015,Zero_migration,0_24,15113.517
909,2015,Estimates,3_4,1287.491
909,2015,Medium_variant,3_4,1287.491
909,2015,Estimates,3_5,1926.295
909,2015,Medium_variant,3_5,1926.295
909,2015,Estimates,3_6,2558.851
909,2015,Medium_variant,3_6,2558.851
909,2015,Estimates,4_5,1281.771
909,2015,Medium_variant,4_5,1281.771
909,2015,Estimates,4_6,1914.327
909,2015,Medium_variant,4_6,1914.327
909,2015,Estimates,5_10,3715.32
909,2015,Medium_variant,5_10,3715.32
909,2015,Estimates,5_11,4300.98
909,2015,Medium_variant,5_11,4300.98
909,2015,Constant_fertility,5_14,6032.064
909,2015,Constant_mortality,5_14,6032.064
909,2015,Estimates,5_14,6032.064
909,2015,High_variant,5_14,6032.064
909,2015,Instant_replacement,5_14,6032.064
909,2015,Low_variant,5_14,6032.064
909,2015,Medium_variant,5_14,6032.064
909,2015,No_change,5_14,6032.064
909,2015,Zero_migration,5_14,6032.064
909,2015,Estimates,6_9,2479.9
909,2015,Medium_variant,6_9,2479.9
909,2015,Estimates,6_10,3076.516
909,2015,Medium_variant,6_10,3076.516
909,2015,Estimates,6_11,3662.176
909,2015,Medium_variant,6_11,3662.176
909,2015,Estimates,6_12,4240.228
909,2015,Medium_variant,6_12,4240.228
909,2015,Estimates,7_10,2443.96
909,2015,Medium_variant,7_10,2443.96
909,2015,Estimates,7_12,3607.672
909,2015,Medium_variant,7_12,3607.672
909,2015,Estimates,11_16,3474.372
909,2015,Medium_variant,11_16,3474.372
909,2015,Estimates,11_17,4055.796
909,2015,Medium_variant,11_17,4055.796
909,2015,Estimates,11_18,4640.128
909,2015,Medium_variant,11_18,4640.128
909,2015,Estimates,12_14,1731.084
