region,year,variant,freq,agebroad,totaldeaths
957,2010,estimates,5yearly,65_69,1.894
957,2010,estimates,5yearly,70_74,2.256
957,2010,estimates,5yearly,75_79,2.408
957,2010,estimates,5yearly,80_84,2.255
957,2010,estimates,5yearly,85_89,1.544
957,2010,estimates,5yearly,90_94,0.659
957,2010,estimates,5yearly,95plus,0.224
957,2010,estimates,5yearly,0_14,1.485
957,2010,estimates,5yearly,0_19,1.626
957,2010,estimates,5yearly,0_24,1.817
957,2010,estimates,5yearly,5_14,0.158
957,2010,estimates,5yearly,15plus,17.365
957,2010,estimates,5yearly,15_24,0.332
957,2010,estimates,5yearly,15_49,2.244
957,2010,estimates,5yearly,15_59,4.544
957,2010,estimates,5yearly,15_64,6.125
957,2010,estimates,5yearly,20plus,17.224
957,2010,estimates,5yearly,20_64,5.984
957,2010,estimates,5yearly,20_69,7.878
957,2010,estimates,5yearly,25plus,17.033
957,2010,estimates,5yearly,25_69,7.687
957,2010,estimates,5yearly,40plus,16.295
957,2010,estimates,5yearly,50plus,15.121
957,2010,estimates,5yearly,60plus,12.821
957,2010,estimates,5yearly,65plus,11.24
957,2010,estimates,5yearly,70plus,9.346
957,2010,estimates,5yearly,80plus,4.682
957,2010,estimates,5yearly,90plus,0.883
957,2015,constantfertility,5yearly,0_4,1.2
957,2015,constantmortality,5yearly,0_4,1.271
957,2015,highvariant,5yearly,0_4,1.211
957,2015,instantreplacement,5yearly,0_4,0.784
957,2015,lowvariant,5yearly,0_4,1.05
957,2015,mediumvariant,5yearly,0_4,1.131
957,2015,nochange,5yearly,0_4,1.35
957,2015,zeromigration,5yearly,0_4,1.191
957,2015,constantfertility,5yearly,5_9,0.064
957,2015,highvariant,5yearly,5_9,0.064
957,2015,lowvariant,5yearly,5_9,0.064
957,2015,mediumvariant,5yearly,5_9,0.064
957,2015,constantfertility,5yearly,10_14,0.07
957,2015,highvariant,5yearly,10_14,0.07
957,2015,lowvariant,5yearly,10_14,0.07
957,2015,mediumvariant,5yearly,10_14,0.07
957,2015,constantfertility,5yearly,15_19,0.122
957,2015,highvariant,5yearly,15_19,0.122
957,2015,lowvariant,5yearly,15_19,0.122
957,2015,mediumvariant,5yearly,15_19,0.122
957,2015,constantfertility,5yearly,20_24,0.178
957,2015,highvariant,5yearly,20_24,0.178
957,2015,lowvariant,5yearly,20_24,0.178
957,2015,mediumvariant,5yearly,20_24,0.178
957,2015,constantfertility,5yearly,25_29,0.196
957,2015,highvariant,5yearly,25_29,0.196
957,2015,lowvariant,5yearly,25_29,0.196
957,2015,mediumvariant,5yearly,25_29,0.196
957,2015,constantfertility,5yearly,30_34,0.204
957,2015,highvariant,5yearly,30_34,0.204
957,2015,lowvariant,5yearly,30_34,0.204
957,2015,mediumvariant,5yearly,30_34,0.204
957,2015,constantfertility,5yearly,35_39,0.264
957,2015,highvariant,5yearly,35_39,0.264
957,2015,lowvariant,5yearly,35_39,0.264
957,2015,mediumvariant,5yearly,35_39,0.264
957,2015,constantfertility,5yearly,40_44,0.407
957,2015,highvariant,5yearly,40_44,0.407
957,2015,lowvariant,5yearly,40_44,0.407
957,2015,mediumvariant,5yearly,40_44,0.407
957,2015,constantfertility,5yearly,45_49,0.667
957,2015,highvariant,5yearly,45_49,0.667
957,2015,lowvariant,5yearly,45_49,0.668
957,2015,mediumvariant,5yearly,45_49,0.667
957,2015,constantfertility,5yearly,50_54,1.005
957,2015,highvariant,5yearly,50_54,1.005
