region,year,variant,freq,age1yearinterval,survivorage
915,2050,medium_variant,5yearly,100plus,7367.20896349818
915,2055,medium_variant,5yearly,"Region, subregion, country or area *",Caribbean
915,2055,medium_variant,5yearly,0,100000
915,2055,medium_variant,5yearly,1,98906.2003567221
915,2055,medium_variant,5yearly,5,98431.4122390251
915,2055,medium_variant,5yearly,10,98196.7971092964
915,2055,medium_variant,5yearly,15,97991.3583216401
915,2055,medium_variant,5yearly,20,97675.6348548473
915,2055,medium_variant,5yearly,25,97212.2613762924
915,2055,medium_variant,5yearly,30,96638.0719432759
915,2055,medium_variant,5yearly,35,95963.6037794958
915,2055,medium_variant,5yearly,40,95152.8469427784
915,2055,medium_variant,5yearly,45,94116.5391771789
915,2055,medium_variant,5yearly,50,92711.5718463343
915,2055,medium_variant,5yearly,55,90764.7732129672
915,2055,medium_variant,5yearly,60,88027.7386175394
915,2055,medium_variant,5yearly,65,84061.9647008186
915,2055,medium_variant,5yearly,70,78227.4198484023
915,2055,medium_variant,5yearly,75,69901.4902493563
915,2055,medium_variant,5yearly,80,58921.3562631138
915,2055,medium_variant,5yearly,85,45527.3094245477
915,2055,medium_variant,5yearly,90,30958.5367814803
915,2055,medium_variant,5yearly,95,17522.6308892605
915,2055,medium_variant,5yearly,100plus,7683.57511207802
915,2060,medium_variant,5yearly,"Region, subregion, country or area *",Caribbean
915,2060,medium_variant,5yearly,0,100000
915,2060,medium_variant,5yearly,1,98999.0270211683
915,2060,medium_variant,5yearly,5,98573.433081342
915,2060,medium_variant,5yearly,10,98360.1381164111
915,2060,medium_variant,5yearly,15,98172.5188455949
915,2060,medium_variant,5yearly,20,97881.6467671168
915,2060,medium_variant,5yearly,25,97452.6249734725
915,2060,medium_variant,5yearly,30,96920.5791079375
915,2060,medium_variant,5yearly,35,96295.1154875128
915,2060,medium_variant,5yearly,40,95539.6027907656
915,2060,medium_variant,5yearly,45,94567.2168585356
915,2060,medium_variant,5yearly,50,93243.4398872052
915,2060,medium_variant,5yearly,55,91380.0832912194
915,2060,medium_variant,5yearly,60,88720.6876813415
915,2060,medium_variant,5yearly,65,84869.7739925057
915,2060,medium_variant,5yearly,70,79174.9220730603
915,2060,medium_variant,5yearly,75,70991.6338504674
915,2060,medium_variant,5yearly,80,60070.0337834933
915,2060,medium_variant,5yearly,85,46587.2846398005
915,2060,medium_variant,5yearly,90,31759.0299701435
915,2060,medium_variant,5yearly,95,17966.1625287354
915,2060,medium_variant,5yearly,100plus,7828.59342303471
915,2065,medium_variant,5yearly,"Region, subregion, country or area *",Caribbean
915,2065,medium_variant,5yearly,0,100000
915,2065,medium_variant,5yearly,1,99081.8232074434
915,2065,medium_variant,5yearly,5,98699.1605845049
915,2065,medium_variant,5yearly,10,98503.6878668887
915,2065,medium_variant,5yearly,15,98331.2305849923
915,2065,medium_variant,5yearly,20,98061.3488311233
915,2065,medium_variant,5yearly,25,97662.4933333021
915,2065,medium_variant,5yearly,30,97167.3670091313
915,2065,medium_variant,5yearly,35,96583.7119394854
915,2065,medium_variant,5yearly,40,95876.4530623865
915,2065,medium_variant,5yearly,45,94962.4946824957
915,2065,medium_variant,5yearly,50,93711.8358640238
915,2065,medium_variant,5yearly,55,91947.8811576364
915,2065,medium_variant,5yearly,60,89400.1519033962
915,2065,medium_variant,5yearly,65,85659.7680389819
915,2065,medium_variant,5yearly,70,80163.9221578438
915,2065,medium_variant,5yearly,75,72229.9988675662
915,2065,medium_variant,5yearly,80,61449.2568923688
915,2065,medium_variant,5yearly,85,47900.4944290152
915,2065,medium_variant,5yearly,90,32754.6165796696
915,2065,medium_variant,5yearly,95,18493.5916615864
915,2065,medium_variant,5yearly,100plus,7967.97345345017
