region,year,variant,gender,freq,agebroad,percentagetotaldeaths
948,1995,estimates,female,5yearly,20_69,35.4033010686865
948,1995,estimates,male,5yearly,20_69,41.4673353056756
948,1995,estimates,female,5yearly,25plus,58.3151664215055
948,1995,estimates,male,5yearly,25plus,59.460979168283
948,1995,estimates,female,5yearly,25_69,32.8006498727649
948,1995,estimates,male,5yearly,25_69,38.6523368347723
948,1995,estimates,female,5yearly,40plus,50.2513401944561
948,1995,estimates,male,5yearly,40plus,50.0743805968981
948,1995,estimates,female,5yearly,50plus,44.6831961849608
948,1995,estimates,male,5yearly,50plus,42.848668689184
948,1995,estimates,female,5yearly,60plus,37.2998476601008
948,1995,estimates,male,5yearly,60plus,33.7335301274987
948,1995,estimates,female,5yearly,65plus,31.9903127056156
948,1995,estimates,male,5yearly,65plus,27.6601670967956
948,1995,estimates,female,5yearly,70plus,25.5145165487406
948,1995,estimates,male,5yearly,70plus,20.8086423335107
948,1995,estimates,female,5yearly,80plus,11.2966458076703
948,1995,estimates,male,5yearly,80plus,7.84792397335693
948,1995,estimates,female,5yearly,90plus,2.02429292015442
948,1995,estimates,male,5yearly,90plus,1.04142707319568
948,2000,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,2000,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,2000,estimates,female,5yearly,0_4,27.0756393918226
948,2000,estimates,male,5yearly,0_4,26.5601158500083
948,2000,estimates,female,5yearly,0_14,31.5740737487401
948,2000,estimates,male,5yearly,0_14,30.7544233778266
948,2000,estimates,female,5yearly,0_19,33.7219611730592
948,2000,estimates,male,5yearly,0_19,32.9698485528506
948,2000,estimates,female,5yearly,0_24,36.3781587072103
948,2000,estimates,male,5yearly,0_24,35.812940265036
948,2000,estimates,female,5yearly,5_14,4.49843435691756
948,2000,estimates,male,5yearly,5_14,4.19430752781827
948,2000,estimates,female,5yearly,15plus,68.4259262512598
948,2000,estimates,male,5yearly,15plus,69.2455766221734
948,2000,estimates,female,5yearly,15_24,4.80408495847017
948,2000,estimates,male,5yearly,15_24,5.05851688720938
948,2000,estimates,female,5yearly,15_49,19.8118589781624
948,2000,estimates,male,5yearly,15_49,22.9809424294783
948,2000,estimates,female,5yearly,15_59,27.5717778390486
948,2000,estimates,male,5yearly,15_59,32.7083564730318
948,2000,estimates,female,5yearly,15_64,32.982996730954
948,2000,estimates,male,5yearly,15_64,38.8783395498008
948,2000,estimates,female,5yearly,20plus,66.2780388269408
948,2000,estimates,male,5yearly,20plus,67.0301514471494
