continent,year,variant,gender,agebroad,population
905,1975,estimates,male,65plus,10225.53
905,1975,estimates,female,70plus,9667.545
905,1975,estimates,male,70plus,6256.791
905,1975,estimates,female,75plus,6173.978
905,1975,estimates,male,75plus,3561.088
905,1975,estimates,female,80plus,3275.856
905,1975,estimates,male,80plus,1730.509
905,1980,estimates,female,total,129435.59
905,1980,estimates,male,total,124781.571
905,1980,estimates,female,0_1,3627.79
905,1980,estimates,male,0_1,3884.054
905,1980,estimates,female,0_4,8939.852
905,1980,estimates,male,0_4,9505.685
905,1980,estimates,female,0_14,27893.842
905,1980,estimates,male,0_14,29843.298
905,1980,estimates,female,0_17,34691.604
905,1980,estimates,male,0_17,37065.999
905,1980,estimates,female,0_19,39429.999
905,1980,estimates,male,0_19,42032.078
905,1980,estimates,female,0_24,51290.696
905,1980,estimates,male,0_24,54221.368
905,1980,estimates,female,3_4,3532.189
905,1980,estimates,male,3_4,3734.162
905,1980,estimates,female,3_5,5299.896
905,1980,estimates,male,3_5,5604.893
905,1980,estimates,female,3_6,7078.494
905,1980,estimates,male,3_6,7492.254
905,1980,estimates,female,4_5,3531.818
905,1980,estimates,male,4_5,3735.206
905,1980,estimates,female,4_6,5310.416
905,1980,estimates,male,4_6,5622.567
905,1980,estimates,female,5_10,10903.249
905,1980,estimates,male,5_10,11641.023
905,1980,estimates,female,5_11,12824.913
905,1980,estimates,male,5_11,13721.565
905,1980,estimates,female,5_14,18953.99
905,1980,estimates,male,5_14,20337.613
905,1980,estimates,female,6_9,7248.657
905,1980,estimates,male,6_9,7736.446
905,1980,estimates,female,6_10,9135.542
905,1980,estimates,male,6_10,9770.292
905,1980,estimates,female,6_11,11057.206
905,1980,estimates,male,6_11,11850.834
