global,year,variant,freq,age5yearinterval,noofbirthbymother
900,2035,constant_mortality,5yearly,"Region, subregion, country or area *",WORLD
900,2035,high_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2035,instant_replacement,5yearly,"Region, subregion, country or area *",WORLD
900,2035,low_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2035,medium_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2035,momentum,5yearly,"Region, subregion, country or area *",WORLD
900,2035,no_change,5yearly,"Region, subregion, country or area *",WORLD
900,2035,zero_migration,5yearly,"Region, subregion, country or area *",WORLD
900,2035,constant_fertility,5yearly,15_19,101074.166
900,2035,constant_mortality,5yearly,15_19,51980.798
900,2035,high_variant,5yearly,15_19,69897.196
900,2035,instant_replacement,5yearly,15_19,33075.697
900,2035,low_variant,5yearly,15_19,39417.889
900,2035,medium_variant,5yearly,15_19,53614.827
900,2035,momentum,5yearly,15_19,34794.01
900,2035,no_change,5yearly,15_19,97958.78
900,2035,zero_migration,5yearly,15_19,53961.381
900,2035,constant_fertility,5yearly,20_24,266621.513
900,2035,constant_mortality,5yearly,20_24,179405.52
900,2035,high_variant,5yearly,20_24,231069.47
900,2035,instant_replacement,5yearly,20_24,154963.238
900,2035,low_variant,5yearly,20_24,137753.085
900,2035,medium_variant,5yearly,20_24,182680.94
900,2035,momentum,5yearly,20_24,161533.189
900,2035,no_change,5yearly,20_24,261852.903
900,2035,zero_migration,5yearly,20_24,183808.515
900,2035,constant_fertility,5yearly,25_29,252117.876
900,2035,constant_mortality,5yearly,25_29,208457.066
900,2035,high_variant,5yearly,25_29,257795.593
900,2035,instant_replacement,5yearly,25_29,199372.056
900,2035,low_variant,5yearly,25_29,164684.022
900,2035,medium_variant,5yearly,25_29,211167.611
900,2035,momentum,5yearly,25_29,205892.158
900,2035,no_change,5yearly,25_29,248668.229
900,2035,zero_migration,5yearly,25_29,211707.053
900,2035,constant_fertility,5yearly,30_34,168119.444
900,2035,constant_mortality,5yearly,30_34,153216.998
900,2035,high_variant,5yearly,30_34,190482.05
900,2035,instant_replacement,5yearly,30_34,149993.567
900,2035,low_variant,5yearly,30_34,120058.456
900,2035,medium_variant,5yearly,30_34,155180.86
900,2035,momentum,5yearly,30_34,152826.361
900,2035,no_change,5yearly,30_34,165519.184
900,2035,zero_migration,5yearly,30_34,154524.001
900,2035,constant_fertility,5yearly,35_39,89374.8229999999
900,2035,constant_mortality,5yearly,35_39,76368.554
900,2035,high_variant,5yearly,35_39,94934.723
900,2035,instant_replacement,5yearly,35_39,73178.695
900,2035,low_variant,5yearly,35_39,60544.188
900,2035,medium_variant,5yearly,35_39,77656.039
900,2035,momentum,5yearly,35_39,74195.631
900,2035,no_change,5yearly,35_39,87579.596
900,2035,zero_migration,5yearly,35_39,77153.757
900,2035,constant_fertility,5yearly,40_44,32105.0
900,2035,constant_mortality,5yearly,40_44,22522.037
900,2035,high_variant,5yearly,40_44,28035.594
900,2035,instant_replacement,5yearly,40_44,21443.801
900,2035,low_variant,5yearly,40_44,17988.767
900,2035,medium_variant,5yearly,40_44,22986.664
900,2035,momentum,5yearly,40_44,21842.977
900,2035,no_change,5yearly,40_44,31279.299
900,2035,zero_migration,5yearly,40_44,22954.138
900,2035,constant_fertility,5yearly,45_49,8347.213
900,2035,constant_mortality,5yearly,45_49,4237.782
900,2035,high_variant,5yearly,45_49,5202.293
900,2035,instant_replacement,5yearly,45_49,3615.528
900,2035,low_variant,5yearly,45_49,3527.443
900,2035,medium_variant,5yearly,45_49,4368.269
900,2035,momentum,5yearly,45_49,3759.038
900,2035,no_change,5yearly,45_49,8086.493
900,2035,zero_migration,5yearly,45_49,4402.222
